state,state_code,helpline_contacts_2025,helpline_contacts_2024,helpline_rate_per_100k_2025,helpline_rate_per_100k_2024,helpline_yoy_change,state_funds_pg_services_fy2025,publication_tier,state_published_indicator,state_published_latest_value,state_published_latest_period,state_publisher,state_source_url,machine_readable,notes
Alabama,AL,3606,6408,70.9,126.0,"decrease, p<.001",No,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"No state problem gambling program, no dedicated funding. Checked ADMH, state council, NAADGS."
Alaska,AK,527,402,71.6,54.6,"increase, p<.001",No,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"No state program or dedicated funding, no NCPG affiliate. Checked DHSS Division of Behavioral Health, NAADGS."
Arizona,AZ,5591,5417,75.8,73.4,no significant change,Yes,U,Self-exclusion statistics (series exists; unfetchable),not extracted,unknown,"Arizona Dept of Gaming, Division of Problem Gambling",https://problemgambling.az.gov/,No,All AZ gaming hosts return 403 to automated fetch; needs manual verification
Arkansas,AR,6000,6795,196.8,222.8,"decrease, p<.001",Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"No council annual report, no DHS gambling report. Helpline figures appear in press coverage only."
California,CA,52885,54369,134.6,138.4,"decrease, p<.001",Yes,B,Treatment services and helpline reports,not extracted,FY2015-16 (treatment); 2020 (helpline),"CA Dept of Public Health, Office of Problem Gambling",https://www.cdph.ca.gov/Programs/OPG/CDPH%20Document%20Library/Treatment_Services_Report_FY2015-16_a-ADA.pdf,No,Largest state by helpline volume; newest public report is roughly a decade old
Colorado,CO,6944,7306,118.5,124.6,"decrease, p<.001",Yes,U,Self-exclusion enrollment (counts appear in press releases),not extracted,unknown,Colorado Division of Gaming,https://sbg.colorado.gov/gaming-self-exclusion,No,All colorado.gov gaming hosts geo-blocked in testing; needs manual verification
Connecticut,CT,3048,3471,84.1,95.8,"decrease, p<.001",Yes,B,"Helpline volume, percentage change only",+1% contacts vs 2022 (no absolute counts published),CY2023,Connecticut Council on Problem Gambling,https://ccpg.org/wp-content/uploads/2024/12/2023-CCPG-Annual-Report.pdf,No,"Publishes percentages, not levels; DMHAS annual statistics contain no gambling breakout"
Delaware,DE,1371,1339,134.3,131.1,no significant change,Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,Council publishes no reports; Lottery publishes no self-exclusion counts. Only funding totals.
District of Columbia,DC,3575,4352,524.7,638.8,"decrease, p<.001",No,B,Self-exclusion enrollment,14 enrollees,As of 1/31/2023,"DC Office of Lottery and Gaming, via Council oversight response",https://dccouncil.gov/wp-content/uploads/2023/02/OLG-Responses_2023-Performance-Oversight-Hearing-Responses-to-Committee-Questions.pdf,No,"Number exists only in a legislative Q&A, not in any agency report"
Florida,FL,18532,23569,82.7,105.1,"decrease, p<.001",Yes,B,24-Hour Problem Gambling HelpLine contacts,"25,689 contacts",FY2021-22,Florida Council on Compulsive Gambling,https://gamblinghelp.org/wp-content/uploads/2025/07/2021-2022-FCCG-Annual-HelpLine-Report.pdf,Partial,"Annual series, but the public PDF archive stops at FY2021-22; site serves soft-404s at HTTP 200"
Georgia,GA,17428,11270,159.3,103.0,"increase, p<.001",Yes,B,Prevalence estimate,"~380,000 problem gamblers (2007 survey)",2007,Georgia Council on Problem Gambling,https://www.georgiagamblinghelp.org/research-planning/,No,Council's own downloads page 404s; newest figure is from 2007
Hawaii,HI,1282,1408,88.7,97.4,"decrease, p<.05",No,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"No legal gambling, no state program, $0 dedicated funding, no NCPG affiliate."
Idaho,ID,1034,861,53.5,44.5,"increase, p<.001",No,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"No state program, $0 dedicated funding, no NCPG affiliate. Lottery publishes referral text only."
Illinois,IL,22209,25440,174.9,200.4,"decrease, p<.001",Yes,A,Self-exclusion enrollments (Self-Exclusion Program),"595 enrolled in 2025; 16,115 cumulative since 2002",CY2025,Illinois Gaming Board,https://igb.illinois.gov/content/dam/soi/en/web/igb/documents/reports/annual-reports/igb-annual-reports/2025-igb-annual-report.pdf,No,Cumulative figure is widely misreported as a live population
Indiana,IN,5524,5310,80.6,77.5,"increase, p<.05",Yes,A,Voluntary Exclusion Program members,"6,929 active; 11,815 cumulative enrollments",FY2026 (to 6/30/2026),Indiana Gaming Commission,https://www.in.gov/igc/files/reports/2026/FY2026-Annual.pdf,No,Do not confuse with IGC's involuntary Exclusion List
Iowa,IA,812,746,25.3,23.2,no significant change,Yes,A,"Statewide self-exclusion, active enrollees","8,633 active (608 new in 2025)",CY2025,Iowa Racing and Gaming Commission,https://irgc.iowa.gov/media/483/download?inline=,No,Iowa HHS helpline report is separate and stale at SFY2023
Kansas,KS,4365,3816,148.1,129.5,"increase, p<.001",Yes,A,Casino Voluntary Exclusion Program enrollments,"3,381 cumulative 2010-2025 (172 in 2025)",CY2025,Kansas Racing and Gaming Commission,https://krgc.kansas.gov/2025-krgc-annual-report/,No,"Sports Wagering Exclusion Program counted separately: 1,506"
Kentucky,KY,2550,3517,56.2,77.6,"decrease, p<.001",Yes,B,Helpline calls,"1,689 calls Jan-Aug 2025 (vs 2,041 same period 2024)",Jan-Aug 2025,"Kentucky Council on Problem Gambling, via legislative testimony",https://apps.legislature.ky.gov/CommitteeDocuments/50/35653/LRC%20Presentation.pdf,No,Not a standing report; the presenter who produced it annually retired at the end of 2025. No statewide self-exclusion program exists
Louisiana,LA,5576,6914,120.9,149.9,"decrease, p<.001",Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"Checked the Gaming Control Board's 30th Annual Report and the full index back to 1997, the voluntary exclusion page, and LDH Office of Behavioral Health. Only a $500,000/yr fund appropriation appears. No counts anywhere."
Maine,ME,785,593,56.6,42.7,"increase, p<.001",Yes,A,Problem Gambling Helpline intakes (211 Maine),96 intakes; 243 on active casino self-exclusion list,FY24 (10/1/23-9/30/24),Maine DHHS / Maine CDC,https://legislature.maine.gov/doc/11887,No,Sports Wagering self-exclusion list: 4 people
Maryland,MD,8089,10023,130.3,161.5,"decrease, p<.001",Yes,A,"Problem Gambling Helpline contacts (quarterly) + Voluntary Exclusion Program (monthly, by vertical)","1,394 helpline contacts (FY25); 191 calls + 96 chats/texts (FY26 Q4); VEP current exclusions: 3,869 casino, 800 sports wagering (as of 8/31/2026; lottery, bingo and fantasy VEP reported separately)",FY2025 annual + FY26 Q4 (helpline); monthly as of 8/31/2026 (VEP),"Maryland Center of Excellence on Problem Gambling (helpline); Maryland Lottery and Gaming (VEP, in Commission meeting records)",https://www.mdgaming.com/commission-meeting-9-17-2026/,No,"CORRECTED 2026-09-23 (credit: Maryland Lottery and Gaming, S. Elkin): monthly VEP enrollment is published as five per-vertical PDFs (casino, lottery, bingo, sports wagering, fantasy) attached to each monthly Commission meeting page; the baseline edition said the regulator publishes no exclusion counts. Helpline series unchanged (mdproblemgambling.com/about/reports/). Only quarterly helpline series in the country."
Massachusetts,MA,5827,6071,82.7,86.2,"decrease, p<.05",Yes,A,Voluntary Self-Exclusion enrollments + helpline calls,"2,052 gaming VSE and 794 sports VSE active; 3,280 helpline calls",FY2025 (VSE); FY24 (helpline),Massachusetts Gaming Commission; MA DPH,https://massgaming.com/wp-content/uploads/MGC-Annual-Report-2025.pdf,No,"881 of FY24 helpline calls were sportsbook tech support, per DPH"
Michigan,MI,18149,16196,180.1,160.7,"increase, p<.001",Yes,A,Disassociated Persons List applications,"4,363 cumulative since 2001; 194 in 2026 YTD",As of 9/2/2026,Michigan Gaming Control Board,https://www.michigan.gov/mgcb/resources/responsible-gaming,No,"Highest-frequency file in the country; covers Detroit casinos only, not online"
Minnesota,MN,2732,1912,47.6,33.3,"increase, p<.001",Yes,B,Helpline calls,201 gambling-specific calls,SFY2020 (report dated Feb 2021),Minnesota Dept of Human Services,https://edocs.dhs.state.mn.us/lfserver/Public/DHS-8102-ENG,No,Statutorily biennial; no 2023 or 2025 edition locatable
Mississippi,MS,4259,4863,144.5,165.0,"decrease, p<.001",Yes,B,"Helpline calls, cumulative since inception","145,746 calls since inception (no annual breakdown)",Cumulative through 2022,Mississippi Council on Problem and Compulsive Gambling,https://www.msgambler.org/helpline,No,Cannot be trended. Gaming Commission publishes no self-exclusion counts
Missouri,MO,6349,5153,102.5,83.2,"increase, p<.001",Yes,A,Helpline calls and referrals,"2,841 calls; 376 treatment referrals",CY2024,Missouri Alliance to Curb Problem Gambling,https://archive.org/details/2024MACPGAnnualRpt,No,Regulator's own DAP enrollment total is not published
Montana,MT,597,436,53.5,39.0,"increase, p<.001",No,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,No state problem gambling program. Gambling Control Division reports cover revenue and licensing only; treatment runs through a non-profit that publishes nothing.
Nebraska,NE,1033,1207,52.2,61.0,"decrease, p<.001",Yes,A,Gamblers Assistance Program clients and therapy hours,"~10,500 therapy hours; 216 new gambler clients (cumulative monthly)",FY2025,Nebraska Commission on Problem Gambling,https://problemgambling.nebraska.gov/wp-content/uploads/GAP-2025-ANNUAL-REPORT.pdf,No,"Helpline volume given only as a percentage change, not a count"
Nevada,NV,8227,9638,258.3,302.6,"decrease, p<.001",Yes,A,Residents served by the state treatment system,427 residents served,FY2024,Nevada DHHS/DPBH (authored by UNLV IGI),https://oasis.library.unlv.edu/igi_fac_articles/26/,No,No self-exclusion or helpline counts published
New Hampshire,NH,845,684,60.6,49.0,"increase, p<.001",Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,Council publishes no report. The only figure (570+ calls in 2025) exists solely in a news article.
New Jersey,NJ,17646,20093,188.9,215.0,"decrease, p<.001",Yes,B,Self-exclusion enrollment,"31,405 total (29,125 internet-only)",CY2024,"NJ Division of Gaming Enforcement, via Governor's Responsible Gaming Task Force",https://www.nj.gov/oag/ge/2025news/RGTF_Final_Report_to_GO_3.31.25.pdf,No,"One-off task force report, not a recurring series. Mostly online-only opt-outs, so not comparable to single-list states"
New Mexico,NM,844,1134,39.8,53.5,"decrease, p<.001",Yes,B,New statewide self-exclusions,not extracted (chart is rasterized),As of 9/25/2025,"NM Gaming Control Board, via legislative interim committee handout",https://www.nmlegis.gov/handouts/IAC%20092525%20Item%203%20Update%20from%20the%20Gaming%20Control%20Board.pdf,No,The state tracks the number but does not publish it in readable form
New York,NY,21578,19786,108.7,99.7,"increase, p<.001",Yes,A,Voluntary Self-Exclusion + HOPEline calls,"4,541 active VSE (8,200 cumulative); 3,064 HOPEline calls",CY2024,NYS Gaming Commission and NYS OASAS,https://gaming.ny.gov/system/files/documents/2025/12/12.17.25.mswimpactreport.pdf,No,HOPEline covers substance use as well as gambling
